medico,crm,total_consultas_realizadas,faturamento_total
"Dr. Marcelo Henrique Vieira",8910/PB,2,600.00
"Dra. Ana Paula Carvalho",9123/PB,2,500.00
"Dr. Eduardo Fontes Medeiros",6543/PB,1,350.00
"Dr. Leonardo Barros Pinto",5432/PB,1,320.00
"Dr. Gustavo Henrique Neves",8765/PB,1,310.00
"Dra. Priscila Dantas Xavier",11456/PB,1,290.00
"Dra. Sofia Montenegro Castro",12345/PB,1,290.00
"Dr. André Luiz Barreto",6789/PB,1,280.00
"Dr. Renato Gomes Peixoto",7456/PB,1,280.00
"Dra. Helena Ribeiro Brandão",9876/PB,1,270.00
"Dra. Vanessa Lins Bezerra",10234/PB,1,260.00
"Dra. Cláudia Melo Gusmão",10987/PB,1,200.00
