id_consulta,id_paciente,id_medico,id_especialidade,data_hora,motivo_visita,status_consulta,sala_atendimento,valor_cobrado,nome_medico,cpf,data_nascimento,genero,endereco,telefone,email,plano_saude,nome_completo_medico,crm,nome_especialidade,tempo_medio_consulta_min
1,10,11,11,2025-01-01 09:45:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,229.6,Camila Farias Albuquerque,246.371.242-41,2005-11-15,Feminino,"Rua Esperança, 2404 - Altiplano, João Pessoa/PB",(83) 99525-9830,camila.farias.a@email.com,Amil,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
134,84,11,11,2025-02-15 08:00:00,Acompanhamento de bronquite,Realizada,Sala 207,252.0,Fernanda Machado Machado,567.115.839-28,2011-02-17,Feminino,"Rua Bancários, 1095 - Tambaú, João Pessoa/PB",(83) 98839-3529,fernanda.machad@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
343,84,11,11,2025-05-02 15:30:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,252.0,Fernanda Machado Machado,567.115.839-28,2011-02-17,Feminino,"Rua Bancários, 1095 - Tambaú, João Pessoa/PB",(83) 98839-3529,fernanda.machad@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1182,84,11,11,2026-02-19 14:45:00,Manejo de asma moderada,Cancelada,Sala 207,252.0,Fernanda Machado Machado,567.115.839-28,2011-02-17,Feminino,"Rua Bancários, 1095 - Tambaú, João Pessoa/PB",(83) 98839-3529,fernanda.machad@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1600,84,11,11,2026-07-21 11:30:00,Tosse crônica persistente,Realizada,Sala 207,252.0,Fernanda Machado Machado,567.115.839-28,2011-02-17,Feminino,"Rua Bancários, 1095 - Tambaú, João Pessoa/PB",(83) 98839-3529,fernanda.machad@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
232,104,11,11,2025-03-25 12:00:00,Manejo de asma moderada,Realizada,Sala 207,246.4,Fernanda Lopes Nascimento,429.722.251-18,2011-02-03,Feminino,"Rua Esperança, 2407 - Jaguaribe, João Pessoa/PB",(83) 98258-5505,fernanda.lopes.@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1301,104,11,11,2026-04-09 14:45:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,246.4,Fernanda Lopes Nascimento,429.722.251-18,2011-02-03,Feminino,"Rua Esperança, 2407 - Jaguaribe, João Pessoa/PB",(83) 98258-5505,fernanda.lopes.@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1015,57,11,11,2025-12-20 08:00:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,252.0,Marcelo Nascimento Lima,721.865.835-24,2002-03-20,Masculino,"Rua Principal, 2380 - Altiplano, João Pessoa/PB",(83) 99592-3683,marcelo.nascime@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1038,57,11,11,2025-12-29 17:00:00,Tosse crônica persistente,Realizada,Sala 207,252.0,Marcelo Nascimento Lima,721.865.835-24,2002-03-20,Masculino,"Rua Principal, 2380 - Altiplano, João Pessoa/PB",(83) 99592-3683,marcelo.nascime@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1668,57,11,11,2026-08-12 11:15:00,Tosse crônica persistente,Não Compareceu,Sala 207,252.0,Marcelo Nascimento Lima,721.865.835-24,2002-03-20,Masculino,"Rua Principal, 2380 - Altiplano, João Pessoa/PB",(83) 99592-3683,marcelo.nascime@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
